City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
gurupi,-11.7292,-49.0686,72.52,38,0,3.91,BR,1658977841
sinop,41.7711,34.8709,60.33,51,0,5.08,TR,1658977841
funtua,11.5233,7.3081,70.47,90,100,9.66,NG,1658977842
aykhal,66.0,111.5,81.46,59,28,12.21,RU,1658977842
kiunga,-6.1219,141.2906,80.37,88,81,4.34,PG,1658977842
albany,42.6001,-73.9662,70.59,78,92,2.1,US,1658977593
jamestown,42.097,-79.2353,72.99,73,100,6.91,US,1658977843
kalevala,65.2,31.1667,57.47,86,27,5.84,RU,1658977843
tual,-5.6667,132.75,79.14,83,46,21.41,ID,1658977844
bluff,-46.6,168.3333,47.8,86,100,12.1,NZ,1658977844
amapa,1.0,-52.0,70.81,95,16,1.68,BR,1658977844
kahului,20.8947,-156.47,84.22,65,20,23.02,US,1658977796
rikitea,-23.1203,-134.9692,73.99,68,100,16.82,PF,1658977762
saldanha,-33.0117,17.9442,54.1,69,0,5.88,ZA,1658977845
bundaberg,-24.85,152.35,71.22,53,0,1.99,AU,1658977845
kazachinskoye,57.6953,93.2761,63.1,78,100,3.98,RU,1658977845
mataura,-46.1927,168.8643,47.48,98,100,3.31,NZ,1658977846
haines junction,60.7522,-137.5108,48.06,87,100,1.63,CA,1658977846
lata,40.1629,-8.3327,54.99,92,0,1.95,PT,1658977824
tiksi,71.6872,128.8694,68.29,60,89,6.26,RU,1658977847
punta arenas,-53.15,-70.9167,39.31,75,20,26.46,CL,1658977756
yellowknife,62.456,-114.3525,66.56,68,89,11.99,CA,1658977847
kapaa,22.0752,-159.319,84.18,76,20,16.11,US,1658977577
new norfolk,-42.7826,147.0587,53.1,73,97,3.0,AU,1658977573
ilulissat,69.2167,-51.1,44.62,93,100,1.14,GL,1658977725
qaanaaq,77.484,-69.3632,36.99,92,43,1.5,GL,1658977848
namibe,-15.1961,12.1522,61.59,79,79,6.98,AO,1658977848
mpanda,-6.3655,31.0409,62.24,66,6,1.28,TZ,1658977848
zemio,5.0314,25.1361,68.29,98,100,2.62,CF,1658977849
ushuaia,-54.8,-68.3,40.66,81,75,18.41,AR,1658977764
saint-philippe,-21.3585,55.7679,67.59,84,34,8.7,RE,1658977849
souillac,-20.5167,57.5167,68.36,86,25,10.2,MU,1658977849
mar del plata,-38.0023,-57.5575,51.1,57,100,15.99,AR,1658977582
victoria,22.2855,114.1577,93.04,72,0,5.01,HK,1658977688
antalaha,-14.9003,50.2788,67.57,91,100,5.03,MG,1658977850
mackay,-21.15,149.2,73.69,53,0,15.61,AU,1658977847
port alfred,-33.5906,26.891,64.04,80,86,19.44,ZA,1658977850
busselton,-33.65,115.3333,62.35,68,33,12.97,AU,1658977851
tessalit,20.1986,1.0114,93.85,21,72,10.13,ML,1658977851
nikolskoye,59.7035,30.7861,57.79,88,0,3.67,RU,1658977840
castro,-24.7911,-50.0119,56.73,81,99,2.24,BR,1658977851
los llanos de aridane,28.6585,-17.9182,70.12,93,20,18.41,ES,1658977852
tuktoyaktuk,69.4541,-133.0374,48.2,87,100,14.97,CA,1658977572
georgetown,5.4112,100.3354,87.73,73,20,8.05,MY,1658977852
donskoye,45.4552,41.9741,68.13,70,1,6.35,RU,1658977852
upernavik,72.7868,-56.1549,40.28,84,100,1.92,GL,1658977853
hobart,-42.8794,147.3294,53.46,63,40,12.66,AU,1658977676
narsaq,60.9167,-46.05,46.62,85,14,2.84,GL,1658977853
vaini,-21.2,-175.2,78.96,83,20,10.36,TO,1658977853
athabasca,54.7169,-113.2854,72.9,69,18,6.76,CA,1658977854
hinton,53.4001,-117.5857,74.66,56,49,5.7,CA,1658977854
saskylakh,71.9167,114.0833,72.77,55,78,9.71,RU,1658977854
chokurdakh,70.6333,147.9167,61.14,34,98,14.07,RU,1658977855
oussouye,12.485,-16.5469,78.6,84,89,5.61,SN,1658977855
cape town,-33.9258,18.4232,59.38,76,0,3.4,ZA,1658977833
bull savanna,17.8868,-77.5902,76.35,85,57,5.46,JM,1658977855
vung tau,10.346,107.0843,83.12,74,61,1.99,VN,1658977856
vila franca do campo,37.7167,-25.4333,73.81,93,77,3.38,PT,1658977856
meulaboh,4.1363,96.1285,81.95,72,93,1.63,ID,1658977856
atuona,-9.8,-139.0333,77.47,73,27,23.67,PF,1658977857
kimberley,-28.7323,24.7623,52.23,67,31,15.84,ZA,1658977857
pangkalanbuun,-2.6833,111.6167,84.85,68,91,3.71,ID,1658977857
adrar,20.5022,-10.0711,95.29,10,0,8.84,MR,1658977858
isla mujeres,21.2311,-86.731,82.45,79,7,12.91,MX,1658977858
sitka,57.0531,-135.33,60.69,72,100,5.75,US,1658977837
yulara,-25.2406,130.9889,61.29,19,10,14.32,AU,1658977858
lodwar,3.1191,35.5973,76.59,58,97,12.35,KE,1658977859
xinzhi,36.4989,111.7047,83.89,42,0,3.69,CN,1658977859
port elizabeth,-33.918,25.5701,60.1,100,100,0.0,ZA,1658977859
goma,-1.6792,29.2228,64.35,76,66,2.01,CD,1658977860
vao,-22.6667,167.4833,69.33,68,100,8.43,NC,1658977860
bambous virieux,-20.3428,57.7575,68.22,79,46,10.83,MU,1658977860
lazaro cardenas,17.9583,-102.2,80.42,78,100,3.06,MX,1658977861
yuli,9.6989,10.2744,71.1,98,100,3.94,NG,1658977861
thompson,55.7435,-97.8558,53.49,91,100,3.78,CA,1658977756
arraial do cabo,-22.9661,-42.0278,69.64,80,0,23.89,BR,1658977862
khatanga,71.9667,102.5,71.17,46,92,3.42,RU,1658977862
cherskiy,68.75,161.3,55.17,47,100,6.33,RU,1658977569
pevek,69.7008,170.3133,35.96,87,96,5.32,RU,1658977747
severo-kurilsk,50.6789,156.125,55.35,87,96,6.58,RU,1658977863
padang,-0.9492,100.3543,82.45,58,25,2.66,ID,1658977661
isangel,-19.55,169.2667,73.51,94,100,2.3,VU,1658977863
puerto ayora,-0.7393,-90.3518,69.55,94,98,7.0,EC,1658977864
geraldton,-28.7667,114.6,64.81,77,100,9.22,AU,1658977864
hermanus,-34.4187,19.2345,53.8,81,0,12.26,ZA,1658977702
safaga,26.7292,33.9365,85.53,35,60,5.95,EG,1658977865
butaritari,3.0707,172.7902,82.09,77,8,13.44,KI,1658977865
east london,-33.0153,27.9116,63.68,78,100,11.07,ZA,1658977866
vanimo,-2.6741,141.3028,84.85,71,59,9.22,PG,1658977866
red wing,44.5625,-92.5338,72.84,55,0,3.44,US,1658977866
waingapu,-9.6567,120.2641,83.52,57,48,19.3,ID,1658977867
bredasdorp,-34.5322,20.0403,48.07,92,0,5.61,ZA,1658977867
clyde river,70.4692,-68.5914,37.63,100,100,6.91,CA,1658977867
poum,-20.2333,164.0167,73.69,67,100,13.11,NC,1658977868
cabedelo,-6.9811,-34.8339,72.27,81,77,9.95,BR,1658977868
iqaluit,63.7506,-68.5145,50.7,66,98,3.0,CA,1658977868
noumea,-22.2763,166.4572,78.78,99,100,7.81,NC,1658977720
gisborne,-38.6533,178.0042,60.75,69,11,10.11,NZ,1658977869
preobrazheniye,42.9019,133.9064,75.88,80,32,7.16,RU,1658977869
luderitz,-26.6481,15.1594,54.07,76,0,1.28,NA,1658977870
skjervoy,70.0311,20.9714,50.0,86,100,12.46,NO,1658977870
pocone,-16.2567,-56.6228,73.2,35,0,3.4,BR,1658977870
chuy,-33.6971,-53.4616,59.25,98,100,6.38,UY,1658977871
ambilobe,-13.2,49.05,62.82,91,6,3.4,MG,1658977871
hami,42.8,93.45,91.87,10,0,9.78,CN,1658977872
hithadhoo,-0.6,73.0833,82.42,73,100,12.26,MV,1658977872
bengkulu,-3.8004,102.2655,83.39,67,59,1.36,ID,1658977872
deputatskiy,69.3,139.9,62.04,40,84,5.37,RU,1658977873
kavieng,-2.5744,150.7967,84.92,71,18,17.94,PG,1658977873
ahipara,-35.1667,173.1667,57.63,85,55,15.05,NZ,1658977873
sao joao da barra,-21.6403,-41.0511,68.7,84,0,10.63,BR,1658977874
barrow,71.2906,-156.7887,33.82,100,100,13.8,US,1658977874
mayo,38.8876,-76.5119,82.81,87,0,3.44,US,1658977771
hambantota,6.1241,81.1185,80.51,74,90,5.23,LK,1658977875
kazanskoye,55.6448,69.235,61.21,87,97,14.03,RU,1658977875
maun,-19.9833,23.4167,52.66,45,0,4.76,BW,1658977875
weligama,5.9667,80.4167,78.62,84,91,8.48,LK,1658977711
lebu,-37.6167,-73.65,48.76,84,23,5.41,CL,1658977754
phultala,22.7,89.5167,86.97,66,100,5.7,BD,1658977876
norman wells,65.282,-126.8329,63.5,53,100,1.48,CA,1658977876
kaitangata,-46.2817,169.8464,44.92,94,100,7.63,NZ,1658977877
aginskoye,51.1,114.53,67.51,56,93,11.05,RU,1658977877
touros,-5.1989,-35.4608,73.0,86,17,11.52,BR,1658977877
nome,64.5011,-165.4064,54.16,82,75,12.66,US,1658977700
pisco,-13.7,-76.2167,59.05,82,20,3.44,PE,1658977878
chapais,49.7834,-74.8492,59.81,92,100,3.56,CA,1658977878
pacific grove,36.6177,-121.9166,66.54,86,75,5.75,US,1658977879
grindavik,63.8424,-22.4338,48.67,93,75,19.57,IS,1658977879
plettenberg bay,-34.0527,23.3716,55.45,74,0,5.82,ZA,1658977879
cayenne,4.9333,-52.3333,76.08,1,0,0.0,GF,1658977880
komsomolskiy,40.4272,71.7189,86.72,32,4,4.61,UZ,1658977880
bethel,41.3712,-73.414,74.48,80,0,0.0,US,1658977881
hofn,64.2539,-15.2082,53.33,99,100,21.34,IS,1658977881
constitucion,-35.3333,-72.4167,48.24,76,6,4.7,CL,1658977881
nantucket,41.2835,-70.0995,73.99,88,0,5.75,US,1658977882
khaniotis,39.9991,23.58,79.88,61,0,6.11,GR,1658977882
belmonte,-15.8631,-38.8828,69.49,78,1,5.03,BR,1658977883
katsuura,35.1333,140.3,83.19,78,68,12.08,JP,1658977883
vrangel,42.7297,133.0839,73.08,86,34,3.6,RU,1658977883
malanje,-9.5402,16.341,58.3,77,100,3.65,AO,1658977884
badami,15.915,75.6768,81.05,64,90,4.34,IN,1658977634
